AWAY,HOME,TIME,TV,TICKETS,LOCATION,ODDS_BY,DATE
East Tennessee State,@  Samford,2:00 PM,CBSSN,Tickets as low as $29,"Pete Hanna Center, Homewood, AL",,2026-01-17
West Georgia,@  Florida Gulf Coast,2:00 PM,ESPN+,Tickets as low as $38,"Alico Arena, Fort Myers, FL",,2026-01-17
Queens University,@  Stetson,2:00 PM,ESPN+,Tickets as low as $56,"Edmunds Center, DeLand, FL",,2026-01-17
North Florida,@  Central Arkansas,2:00 PM,ESPN+,Tickets as low as $30,"Farris Center, Conway, AR",,2026-01-17
Sam Houston,@  Florida International,2:00 PM,ESPN+,Tickets as low as $26,"Ocean Bank Convocation Center, Miami, FL",,2026-01-17
New Mexico State,@  Delaware,2:00 PM,ESPN+,Tickets as low as $16,"Bob Carpenter Center, Newark, DE",,2026-01-17
Miami,@  Clemson,2:15 PM,The CW Network,Tickets as low as $31,"Littlejohn Coliseum, Clemson, SC",,2026-01-17
St. Bonaventure,@  La Salle,2:30 PM,,Tickets as low as $23,"John Glaser Arena, Philadelphia, PA",,2026-01-17
Longwood,@  Radford,2:30 PM,ESPN+,,"The Dedmon Center, Radford, VA",,2026-01-17
Utah State,@  Grand Canyon,2:30 PM,,Tickets as low as $31,"Global Credit Union Arena, Phoenix, AZ",,2026-01-17
Drake,@  UIC,3:00 PM,ESPN+,Tickets as low as $36,"Credit Union 1 Arena, Chicago, IL",,2026-01-17
Quinnipiac,@  Merrimack,3:00 PM,ESPN+,Tickets as low as $52,"Hammel Court, North Andover, MA",,2026-01-17
Massachusetts,@  Northern Illinois,3:00 PM,ESPN+,Tickets as low as $19,"NIU Convocation Center, Dekalb, IL",,2026-01-17
Pennsylvania,@  Dartmouth,3:00 PM,ESPN+,,"Leede Arena, Hanover, NH",,2026-01-17
Coastal Carolina,@  Georgia Southern,3:00 PM,ESPN+,Tickets as low as $58,"Jack and Ruth Ann Hill Convocation Center, Statesboro, GA",,2026-01-17
Jacksonville,@  North Alabama,3:00 PM,ESPN+,Tickets as low as $55,"Flowers Hall, Florence, AL",,2026-01-17
Kennesaw State,@  Western Kentucky,3:00 PM,ESPN+,Tickets as low as $41,"E.A. Diddle Arena, Bowling Green, KY",,2026-01-17
UTEP,@  Liberty,3:00 PM,ESPN+,Tickets as low as $33,"Liberty Arena (VA), Lynchburg, VA",,2026-01-17
Georgia State,@  UL Monroe,3:30 PM,ESPN+,,"Fant-Ewing Coliseum, Monroe, LA",,2026-01-17
Missouri,@  LSU,3:30 PM,SEC Network,Tickets as low as $22,"Pete Maravich Assembly Center, Baton Rouge, LA",,2026-01-17
7 Michigan,@  Oregon,4:00 PM,,Tickets as low as $35,"Matthew Knight Arena, Eugene, OR",,2026-01-17
13 Arizona,@  UCF,4:00 PM,,Tickets as low as $26,"Addition Financial Arena, Orlando, FL",,2026-01-17
25 North Carolina,@  California,4:00 PM,ACC Network,Tickets as low as $88,"Haas Pavilion, Berkeley, CA",,2026-01-17
Morgan State,@  Delaware State,4:00 PM,,,"Memorial Hall (DE), Dover, DE",,2026-01-17
Richmond,@  Saint Louis,4:00 PM,,Tickets as low as $14,"Chaifetz Arena, St. Louis, MO",,2026-01-17
Prairie View A&M,@  Jackson State,4:00 PM,,,"Lee E. Williams Athletics and Assembly Center, Jackson, MS",,2026-01-17
Nebraska,@  Northwestern,4:00 PM,BTN,Tickets as low as $40,"Welsh-Ryan Arena, Evanston, IL",,2026-01-17
Charleston,@  Stony Brook,4:00 PM,,Tickets as low as $18,"Stony Brook Arena, Stony Brook, NY",,2026-01-17
Mercer,@  UNC Greensboro,4:00 PM,ESPN+,Tickets as low as $42,"First Horizon Coliseum, Greensboro, NC",,2026-01-17
Lamar,@  Nicholls,4:00 PM,ESPN+,Tickets as low as $46,"David R. Stopher Gymnasium, Thibodaux, LA",,2026-01-17
James Madison,@  Marshall,4:00 PM,ESPN+,Tickets as low as $49,"Cam Henderson Center, Huntington, WV",,2026-01-17
Morehead State,@  Tennessee Tech,4:00 PM,ESPN+,,"Hooper Eblen Center, Cookeville, TN",,2026-01-17
Western Illinois,@  Little Rock,4:00 PM,ESPN+,Tickets as low as $34,"Jack Stephens Center, Little Rock, AR",,2026-01-17
UT Arlington,@  Utah Valley,4:00 PM,ESPN+,Tickets as low as $28,"UCCU Center, Orem, UT",,2026-01-17
Howard,@  North Carolina Central,4:30 PM,ESPN+,,"McDougald-McLendon Arena, Durham, NC",,2026-01-17
Coppin State,@  Maryland Eastern Shore,4:30 PM,,,"Hytche Center, Princess Anne, MD",,2026-01-17
SE Louisiana,@  Texas A&M-Corpus Christi,4:30 PM,ESPN+,Tickets as low as $47,"American Bank Center, Corpus Christi, TX",,2026-01-17
East Texas A&M,@  Houston Christian,4:30 PM,ESPN+,Tickets as low as $47,"Sharp Gymnasium, Houston, TX",,2026-01-17
Arkansas State,@  Troy,4:30 PM,ESPN+,Tickets as low as $16,"Trojan Arena, Troy, AL",,2026-01-17
Southern Miss,@  Texas State,4:30 PM,ESPN+,Tickets as low as $54,"Strahan Arena at the University Events Center, San Marcos, TX",,2026-01-17
Southern Indiana,@  Tennessee State,4:30 PM,ESPN+,,"Gentry Center, Nashville, TN",,2026-01-17
Lindenwood,@  UT Martin,4:30 PM,ESPN+,,"Kathleen and Tom Elam Center, Martin, TN",,2026-01-17
SIU Edwardsville,@  Southeast Missouri State,4:45 PM,ESPN+,Tickets as low as $54,"Show Me Center, Cape Girardeau, MO",,2026-01-17
UNLV,@  San José State,5:00 PM,,Tickets as low as $23,"Provident Credit Union Event Center, San Jose, CA",,2026-01-17
Southern,@  Grambling,5:00 PM,,,"Fredrick C. Hobdy Assembly Center, Grambling, LA",,2026-01-17
UC Irvine,@  UC Davis,5:00 PM,ESPN+,Tickets as low as $23,"University Credit Union Center, Davis, CA",,2026-01-17
Northwestern State,@  Incarnate Word,5:00 PM,ESPN+,Tickets as low as $14,"McDermott Center, San Antonio, TX",,2026-01-17
Northern Arizona,@  Portland State,5:00 PM,ESPN+,Tickets as low as $36,"Viking Pavilion, Portland, OR",,2026-01-17
Louisiana Tech,@  Jacksonville State,5:00 PM,ESPN+,,"Pete Mathews Coliseum, Jacksonville, AL",,2026-01-17
Kansas City,@  South Dakota State,5:15 PM,,Tickets as low as $71,"First Bank & Trust Arena, Brookings, SD",,2026-01-17
McNeese,@  UT Rio Grande Valley,5:30 PM,ESPN+,,"UTRGV Fieldhouse, Edinburg, TX",,2026-01-17
1 Purdue,@  USC,6:00 PM,,Tickets as low as $93,"Galen Center, Los Angeles, CA",,2026-01-17
6 Duke,@  Stanford,6:00 PM,ACC Network,Tickets as low as $122,"Maples Pavilion, Stanford, CA",,2026-01-17
South Carolina,@  20 Auburn,6:00 PM,SEC Network,Tickets as low as $207,"Neville Arena, Auburn, AL",,2026-01-17
Pacific,@  Oregon State,6:00 PM,,Tickets as low as $28,"Gill Coliseum, Corvallis, OR",,2026-01-17
Colorado,@  West Virginia,6:00 PM,CBSSN,Tickets as low as $91,"WVU Coliseum, Morgantown, WV",,2026-01-17
Bethune-Cookman,@  Mississippi Valley State,6:00 PM,,,"R.W. Harrison HPER Complex, Itta Bena, MS",,2026-01-17
Wake Forest,@  Florida State,6:00 PM,,Tickets as low as $39,"Tucker Center, Tallahassee, FL",,2026-01-17
Wofford,@  Furman,6:00 PM,ESPN+,Tickets as low as $32,"Timmons Arena, Greenville, SC",,2026-01-17
Stephen F. Austin,@  New Orleans,6:00 PM,ESPN+,Tickets as low as $48,"Lakefront Arena, New Orleans, LA",,2026-01-17
Eastern Washington,@  Idaho State,6:00 PM,ESPN+,Tickets as low as $50,"Reed Gym, Pocatello, ID",,2026-01-17
Missouri State,@  Middle Tennessee,6:00 PM,ESPN+,Tickets as low as $25,"Murphy Center, Murfreesboro, TN",,2026-01-17
Saint Mary's,@  Santa Clara,7:00 PM,,Tickets as low as $14,"Leavey Center, Santa Clara, CA",,2026-01-17
South Carolina Upstate,@  High Point,7:00 PM,ESPN+,Tickets as low as $54,"Qubein Center, High Point, NC",,2026-01-17
Robert Morris,@  Northern Kentucky,7:00 PM,ESPN+,Tickets as low as $24,"Truist Arena, Highland Heights, KY",,2026-01-17
Campbell,@  UNC Wilmington,7:00 PM,,Tickets as low as $19,"Trask Coliseum, Wilmington, NC",,2026-01-17
Bellarmine,@  Eastern Kentucky,7:00 PM,ESPN+,Tickets as low as $54,"Baptist Health Arena, Richmond, KY",,2026-01-17
Austin Peay,@  Lipscomb,7:00 PM,ESPN+,Tickets as low as $33,"Allen Arena, Nashville, TN",,2026-01-17
5 St. John's,@  Villanova,8:00 PM,,Tickets as low as $199,"Xfinity Mobile Arena, Philadelphia, PA",,2026-01-17
8 BYU,@  10 Texas Tech,8:00 PM,,Tickets as low as $159,"United Supermarkets Arena, Lubbock, TX",,2026-01-17
11 Louisville,@  Pittsburgh,8:00 PM,,Tickets as low as $66,"Petersen Events Center, Pittsburgh, PA",,2026-01-17
Bethesda University,@  San Diego,8:00 PM,,,"Jenny Craig Pavilion, San Diego, CA",,2026-01-17
New Mexico,@  San Diego State,8:00 PM,,Tickets as low as $67,"Viejas Arena, San Diego, CA",,2026-01-17
Long Beach State,@  Cal State Northridge,8:00 PM,ESPN+,Tickets as low as $45,"Premier America Credit Union Arena, Northridge, CA",,2026-01-17
Cal State Fullerton,@  UC Riverside,8:00 PM,ESPN+,Tickets as low as $42,"SRC Arena, Riverside, CA",,2026-01-17
Omaha,@  Oral Roberts,8:00 PM,,Tickets as low as $100,"Mabee Center, Tulsa, OK",,2026-01-17
Ole Miss,@  Mississippi State,8:30 PM,SEC Network,Tickets as low as $96,"Humphrey Coliseum, Starkville, MS",,2026-01-17
Abilene Christian,@  Southern Utah,8:30 PM,ESPN+,Tickets as low as $55,"America First Events Center, Cedar City, UT",,2026-01-17
Portland,@  Loyola Marymount,9:00 PM,,Tickets as low as $14,"Gersten Pavilion, Los Angeles, CA",,2026-01-17
Hawai'i,@  UC Santa Barbara,9:00 PM,ESPN+,Tickets as low as $47,"The Thunderdome, Santa Barbara, CA",,2026-01-17
Montana,@  Montana State,9:00 PM,ESPN+,Tickets as low as $47,"Worthington Arena, Bozeman, MT",,2026-01-17
Idaho,@  Weber State,9:00 PM,ESPN+,Tickets as low as $48,"Dee Events Center, Ogden, UT",,2026-01-17
Tarleton State,@  Utah Tech,9:00 PM,ESPN+,,"Burns Arena, St. George, UT",,2026-01-17
UC San Diego,@  Cal State Bakersfield,9:30 PM,ESPN+,Tickets as low as $28,"Icardo Center, Bakersfield, CA",,2026-01-17
21 Gonzaga,@  Seattle U,10:00 PM,,Tickets as low as $73,"Climate Pledge Arena, Seattle, WA",,2026-01-17
Kansas State,@  Oklahoma State,10:00 PM,CBSSN,Tickets as low as $48,"Gallagher-Iba Arena, Stillwater, OK",,2026-01-17
Northern Colorado,@  Sacramento State,10:00 PM,ESPN+,Tickets as low as $43,"Hornet Pavilion, Sacramento, CA",,2026-01-17
Florida Atlantic,@  Temple,12:00 PM,ESPNU,Tickets as low as $21,"Liacouras Center, Philadelphia, PA",,2026-01-18
Penn State,@  Maryland,12:00 PM,BTN,Tickets as low as $22,"XFINITY Center, College Park, MD",,2026-01-18
American University,@  Army,1:00 PM,ESPN+,Tickets as low as $31,"Christl Arena, West Point, NY",,2026-01-18
Wichita State,@  South Florida,2:00 PM,,Tickets as low as $33,"Yuengling Center, Tampa, FL",,2026-01-18
Charlotte,@  East Carolina,2:00 PM,ESPN+,Tickets as low as $54,"Minges Coliseum, Greenville, NC",,2026-01-18
Oakland,@  Green Bay,2:00 PM,ESPN+,Tickets as low as $61,"Resch Center, Ashwaubenon, WI",,2026-01-18
Milwaukee,@  Purdue Fort Wayne,2:00 PM,ESPN+,Tickets as low as $14,"Memorial Coliseum (IN), Fort Wayne, IN",,2026-01-18
Tulsa,@  UAB,3:00 PM,ESPN+,Tickets as low as $32,"Bartow Arena, Birmingham, AL",,2026-01-18
North Texas,@  Tulane,4:00 PM,,Tickets as low as $13,"Devlin Fieldhouse, New Orleans, LA",,2026-01-18
Arizona State,@  2 Houston,5:00 PM,,Tickets as low as $85,"Fertitta Center, Houston, TX",,2026-01-18
UTSA,@  Memphis,6:00 PM,ESPN2,Tickets as low as $55,"FedExForum, Memphis, TN",,2026-01-18
Washington State,@  San Francisco,7:00 PM,,Tickets as low as $48,"The Sobrato Center, San Francisco, CA",,2026-01-18
Bethune-Cookman,@  Arkansas-Pine Bluff,TBD,,,"H.O. Clemmons Arena, Pine Bluff, AR",,2026-01-19
Prairie View A&M,@  Alcorn State,TBD,,,"Davey L. Whitney Complex, Lorman, MS",,2026-01-19
Vermont,@  UAlbany,TBD,,Tickets as low as $26,"Broadview Center, Albany, NY",,2026-01-19
Bryant,@  NJIT,TBD,ESPN+,Tickets as low as $47,"Joel & Diane Bloom Wellness and Events Center, Newark, NJ",,2026-01-19
Northeastern,@  Monmouth,11:00 AM,CBSSN,Tickets as low as $20,"OceanFirst Bank Center, West Long Branch, NJ",,2026-01-19
Stonehill,@  Saint Francis,12:00 PM,,,"DeGol Arena, Loretto, PA",,2026-01-19
Drexel,@  Towson,1:00 PM,CBSSN,Tickets as low as $64,"SECU Arena, Towson, MD",,2026-01-19
Iona,@  Saint Peter's,2:00 PM,ESPN+,Tickets as low as $60,"Yanitelli Center, Jersey City, NJ",,2026-01-19
Sacred Heart,@  Rider,2:00 PM,ESPN+,Tickets as low as $54,"Alumni Gymnasium (Rider), Lawrenceville, NJ",,2026-01-19
Cornell,@  Brown,2:00 PM,ESPN+,,"Pizzitola Sports Center, Providence, RI",,2026-01-19
Columbia,@  Yale,2:00 PM,ESPN+,Tickets as low as $59,"John J. Lee Amphitheater, New Haven, CT",,2026-01-19
Fairfield,@  Siena,2:00 PM,ESPN+,Tickets as low as $34,"MVP Arena, Albany, NY",,2026-01-19
Mount St. Mary's,@  Niagara,2:00 PM,ESPN+,Tickets as low as $23,"Gallagher Center, Niagara Falls, NY",,2026-01-19
Merrimack,@  Marist,2:00 PM,ESPN+,Tickets as low as $51,"McCann Arena, Poughkeepsie, NY",,2026-01-19
Manhattan,@  Quinnipiac,2:00 PM,ESPN+,,"M&T Bank Arena, Hamden, CT",,2026-01-19
Central Connecticut,@  Mercyhurst,2:00 PM,,,"Mercyhurst Athletic Center, Erie, PA",,2026-01-19
Pennsylvania,@  Harvard,2:00 PM,ESPN+,Tickets as low as $51,"Lavietes Pavilion, Cambridge, MA",,2026-01-19
Wagner,@  Fairleigh Dickinson,2:00 PM,,,"Bogota Savings Bank Center, Hackensack, NJ",,2026-01-19
New Hampshire,@  Maine,2:00 PM,ESPN+,Tickets as low as $44,"Skip Chappelle Court in Memorial Gymnasium, Orono, ME",,2026-01-19
Saint Joseph's,@  VCU,3:00 PM,,Tickets as low as $41,"Siegel Center, Richmond, VA",,2026-01-19
Long Island University,@  Le Moyne,3:00 PM,,,"Ted Grant Court, Syracuse, NY",,2026-01-19
Morehouse,@  Howard,4:00 PM,ESPN+,,"Burr Gymnasium, Washington, DC",,2026-01-19
McNeese,@  Texas A&M-Corpus Christi,4:00 PM,ESPN+,Tickets as low as $47,"American Bank Center, Corpus Christi, TX",,2026-01-19
George Washington,@  George Mason,5:00 PM,,Tickets as low as $10,"EagleBank Arena, Fairfax, VA",,2026-01-19
Princeton,@  Dartmouth,6:00 PM,ESPN+,,"Leede Arena, Hanover, NH",,2026-01-19
Providence,@  Marquette,6:00 PM,,Tickets as low as $41,"Fiserv Forum, Milwaukee, WI",,2026-01-19
UMBC,@  Binghamton,6:00 PM,ESPN+,Tickets as low as $24,"Events Center (Binghamton), Binghamton, NY",,2026-01-19
East Texas A&M,@  Incarnate Word,6:00 PM,ESPN+,Tickets as low as $14,"McDermott Center, San Antonio, TX",,2026-01-19
Elizabeth City State,@  Norfolk State,7:00 PM,,,"Joseph G. Echols Hall, Norfolk, VA",,2026-01-19
New Haven,@  Chicago State,7:00 PM,,Tickets as low as $8,"Jones Convocation Center, Chicago, IL",,2026-01-19
Loyola Maryland,@  Lehigh,7:00 PM,,Tickets as low as $46,"Stabler Arena, Bethlehem, PA",,2026-01-19
SE Louisiana,@  UT Rio Grande Valley,7:30 PM,ESPN+,,"UTRGV Fieldhouse, Edinburg, TX",,2026-01-19
Stephen F. Austin,@  Nicholls,7:30 PM,ESPN+,Tickets as low as $46,"David R. Stopher Gymnasium, Thibodaux, LA",,2026-01-19
Florida A&M,@  Mississippi Valley State,8:00 PM,,,"R.W. Harrison HPER Complex, Itta Bena, MS",,2026-01-19
Texas Southern,@  Jackson State,8:00 PM,,,"Lee E. Williams Athletics and Assembly Center, Jackson, MS",,2026-01-19
Northwestern State,@  Houston Christian,8:00 PM,ESPN+,Tickets as low as $47,"Sharp Gymnasium, Houston, TX",,2026-01-19
Lamar,@  New Orleans,8:00 PM,ESPN+,Tickets as low as $47,"Lakefront Arena, New Orleans, LA",,2026-01-19
Montana State,@  Northern Colorado,8:00 PM,ESPN+,Tickets as low as $20,"Bank of Colorado Arena, Greeley, CO",,2026-01-19
Montana,@  Northern Arizona,8:00 PM,ESPN+,Tickets as low as $33,"J. Lawrence Walkup Skydome, Flagstaff, AZ",,2026-01-19
North Carolina A&T,@  Hampton,9:00 PM,CBSSN,,"Convocation Center (VA), Hampton, VA",,2026-01-19
20 Auburn,@  Ole Miss,TBD,,Tickets as low as $62,"The Sandy and John Black Pavilion at Ole Miss, Oxford, MS",,2026-01-20
Air Force,@  Colorado State,TBD,,Tickets as low as $54,"Moby Arena, Fort Collins, CO",,2026-01-20
Toledo,@  Massachusetts,6:00 PM,ESPN+,Tickets as low as $12,"Mullins Center, Amherst, MA",,2026-01-20
Minnesota,@  Ohio State,6:30 PM,,Tickets as low as $17,"Value City Arena, Columbus, OH",,2026-01-20
Akron,@  Buffalo,6:30 PM,ESPN+,Tickets as low as $18,"Alumni Arena, Buffalo, NY",,2026-01-20
LSU,@  3 Florida,7:00 PM,ESPN2,Tickets as low as $51,"Stephen C. O'Connell Center, Gainesville, FL",,2026-01-20
Seton Hall,@  5 St. John's,7:00 PM,,Tickets as low as $48,"Madison Square Garden, New York, NY",,2026-01-20
Indiana,@  7 Michigan,7:00 PM,,Tickets as low as $29,"Crisler Center, Ann Arbor, MI",,2026-01-20
UCF,@  16 Iowa State,7:00 PM,CBSSN,Tickets as low as $45,"Hilton Coliseum, Ames, IA",,2026-01-20
Mid-Atlantic Christian,@  South Carolina State,7:00 PM,,,"Smith-Hammond-Middleton Memorial Center, Orangeburg, SC",,2026-01-20
Loyola Chicago,@  St. Bonaventure,7:00 PM,ESPN+,Tickets as low as $75,"Reilly Center, Saint Bonaventure, NY",,2026-01-20
Saint Louis,@  Duquesne,7:00 PM,ESPN+,Tickets as low as $31,"UPMC Cooper Fieldhouse, Pittsburgh, PA",,2026-01-20
Florida State,@  Miami,7:00 PM,ESPNU,Tickets as low as $57,"Watsco Center, Coral Gables, FL",,2026-01-20
NC State,@  Clemson,7:00 PM,ACC Network,Tickets as low as $23,"Littlejohn Coliseum, Clemson, SC",,2026-01-20
Northern Illinois,@  Ohio,7:00 PM,,Tickets as low as $36,"Convocation Center (OH), Athens, OH",,2026-01-20
Miami (OH),@  Kent State,7:00 PM,ESPN+,Tickets as low as $17,"M.A.C. Center, Kent, OH",,2026-01-20
Bowling Green,@  Western Michigan,7:00 PM,ESPN+,Tickets as low as $58,"University Arena (MI), Kalamazoo, MI",,2026-01-20
Ball State,@  Central Michigan,7:00 PM,ESPN+,Tickets as low as $44,"McGuirk Arena, Mount Pleasant, MI",,2026-01-20
Oklahoma,@  South Carolina,7:00 PM,SEC Network,Tickets as low as $25,"Colonial Life Arena, Columbia, SC",,2026-01-20
DePaul,@  Butler,7:30 PM,,Tickets as low as $90,"Hinkle Fieldhouse, Indianapolis, IN",,2026-01-20
Evansville,@  UIC,8:00 PM,ESPN+,Tickets as low as $37,"Credit Union 1 Arena, Chicago, IL",,2026-01-20
Oklahoma State,@  TCU,8:00 PM,ESPN+,Tickets as low as $36,"Schollmaier Arena, Fort Worth, TX",,2026-01-20
Rutgers,@  Iowa,8:30 PM,,Tickets as low as $33,"Carver-Hawkeye Arena, Iowa City, IA",,2026-01-20
Boise State,@  Wyoming,8:30 PM,,Tickets as low as $47,"Arena-Auditorium, Laramie, WY",,2026-01-20
UT Martin,@  Southeast Missouri State,8:30 PM,ESPN+,Tickets as low as $54,"Show Me Center, Cape Girardeau, MO",,2026-01-20
10 Texas Tech,@  Baylor,9:00 PM,Peacock,Tickets as low as $82,"Foster Pavilion, Waco, TX",,2026-01-20
Vanderbilt,@  14 Arkansas,9:00 PM,,Tickets as low as $102,"Bud Walton Arena, Fayetteville, AR",,2026-01-20
22 Michigan State,@  Oregon,9:00 PM,,Tickets as low as $33,"Matthew Knight Arena, Eugene, OR",,2026-01-20
Utah,@  Kansas State,9:00 PM,CBSSN,Tickets as low as $40,"Bramlage Coliseum, Manhattan, KS",,2026-01-20
SMU,@  Wake Forest,9:00 PM,ACC Network,Tickets as low as $25,"LJVM Coliseum, Winston-Salem, NC",,2026-01-20
Georgia,@  Missouri,9:00 PM,SEC Network,Tickets as low as $34,"Mizzou Arena, Columbia, MO",,2026-01-20
1 Purdue,@  12 UCLA,10:00 PM,,Tickets as low as $196,"Pauley Pavilion, Los Angeles, CA",,2026-01-20
San José State,@  Nevada,10:00 PM,,Tickets as low as $20,"Lawlor Events Center, Reno, NV",,2026-01-20
19 Kansas,@  Colorado,11:00 PM,ESPN,Tickets as low as $113,"CU Events Center, Boulder, CO",,2026-01-20
UNLV,@  Utah State,11:00 PM,,Tickets as low as $70,"Dee Glen Smith Spectrum, Logan, UT",,2026-01-20
Southern Illinois,@  Valparaiso,TBD,ESPN+,Tickets as low as $66,"Athletics-Recreation Center, Valparaiso, IN",,2026-01-21
Northern Iowa,@  Illinois State,TBD,ESPN+,Tickets as low as $42,"CEFCU Arena, Normal, IL",,2026-01-21
Murray State,@  Drake,TBD,ESPN+,Tickets as low as $29,"Knapp Center, Des Moines, IA",,2026-01-21
Indiana State,@  Bradley,TBD,ESPN+,Tickets as low as $22,"Carver Arena, Peoria, IL",,2026-01-21
Washington State,@  San Diego,TBD,,Tickets as low as $26,"Jenny Craig Pavilion, San Diego, CA",,2026-01-21
South Dakota,@  Omaha,TBD,,Tickets as low as $32,"Baxter Arena, Omaha, NE",,2026-01-21
UNC Greensboro,@  VMI,4:00 PM,ESPN+,Tickets as low as $31,"Cameron Hall, Lexington, VA",,2026-01-21
Lafayette,@  Boston University,6:00 PM,ESPN+,Tickets as low as $23,"Case Gym, Boston, MA",,2026-01-21
Samford,@  Wofford,6:00 PM,ESPN+,Tickets as low as $48,"Jerry Richardson Indoor Stadium, Spartanburg, SC",,2026-01-21
Dayton,@  La Salle,6:30 PM,ESPN+,Tickets as low as $57,"John Glaser Arena, Philadelphia, PA",,2026-01-21
Radford,@  Winthrop,6:30 PM,ESPN+,Tickets as low as $41,"Winthrop Coliseum, Rock Hill, SC",,2026-01-21
Texas,@  9 Kentucky,7:00 PM,SEC Network,Tickets as low as $80,"Rupp Arena, Lexington, KY",,2026-01-21
Maryland,@  17 Illinois,7:00 PM,BTN,Tickets as low as $46,"State Farm Center, Champaign, IL",,2026-01-21
Xavier,@  23 Creighton,7:00 PM,,Tickets as low as $17,"CHI Health Center Omaha, Omaha, NE",,2026-01-21
Notre Dame,@  25 North Carolina,7:00 PM,ESPN2,Tickets as low as $72,"Dean E. Smith Center, Chapel Hill, NC",,2026-01-21
Colgate,@  American University,7:00 PM,ESPN+,Tickets as low as $43,"Bender Arena, Washington, DC",,2026-01-21
Rhode Island,@  Richmond,7:00 PM,ESPN+,Tickets as low as $39,"Robins Center, Richmond, VA",,2026-01-21
Fordham,@  Davidson,7:00 PM,ESPN+,Tickets as low as $34,"John M. Belk Arena, Davidson, NC",,2026-01-21
Tulane,@  Florida Atlantic,7:00 PM,ESPN+,Tickets as low as $41,"Eleanor R. Baldwin Arena, Boca Raton, FL",,2026-01-21
Army,@  Bucknell,7:00 PM,ESPN+,,"Sojka Pavilion, Lewisburg, PA",,2026-01-21
UNC Asheville,@  South Carolina Upstate,7:00 PM,ESPN+,,"G.B. Hodge Center, Spartanburg, SC",,2026-01-21
Gardner-Webb,@  Longwood,7:00 PM,ESPN+,,"Joan Perry Brock Center, Farmville, VA",,2026-01-21
Charleston Southern,@  Presbyterian,7:00 PM,ESPN+,Tickets as low as $47,"Templeton Center, Clinton, SC",,2026-01-21
